"id","x","y","weight"
"DUNANE","278109.75023801986","700990.2081179303","109"
"LNGCROS","497896.9994957992","166061.87737145892","123"
"STLNRWS","580300.054983167","109364.63767153883","196"
"SEAHAM","442079.81658661587","549554.5491278715","36"
"YOKER","250869.8015094837","669180.5654136442","129"
"BOGNORR","493414.869969449","99389.29831814059","141"
"NETLEY","446400.19537225796","108585.28061500014","42"
"AGHTNPH","340790.05598542304","406775.46883849235","124"
"STOTNHM","533680.1848704158","188594.94665429863","141"
"BSSN","546930.220587849","99907.8093476331","72"
"GIDEAPK","552939.7075111871","189309.739121862","328"
"ERDNGTN","410984.92331531685","292279.7246033178","141"
"TOTNES","280170.1540913264","60919.63552031637","85"
"SHPRTH","539190.0542784035","248149.99539070588","79"
"BALMOSS","348416.7302490725","731697.5419653545","4"
"CRNG","595004.9065015598","149132.2696930648","54"
"BYNEA","254960.04395997393","199115.00125650136","10"
"CRNF","349700.157920864","470700.4036608599","53"
"GRVSEND","564576.7778501705","174029.3731494507","234"
"BATRSPK","528745.2367471115","176960.2264745765","180"
"MDLSBRO","449563.8247635155","520701.51087751903","151"
"GRAVLYH","410099.8915400292","290799.50878674723","141"
"SLEFD","506789.79873244034","345419.83811846864","61"
"TRFRSTE","310669.86458359164","186279.95947710332","62"
"WHITHVN","297460.19637981756","518689.9998981133","35"
"ECLR","601820.1974706638","290029.7517151618","4"
"MSTN","388759.1862569692","402986.182054411","42"
"CROY","272979.75462208135","675500.4715493384","140"
"KNTNGLY","448999.8729374674","423600.4786795815","59"
"WSMARE","332420.1716832458","161030.21673381253","85"
"CROT","348709.9788637378","419290.1729060291","30"
"LYTNSHR","539310.2565755374","186874.69947171293","141"
"MOTFONT","431855.3373629135","126159.52579728089","36"
"HNSTNTN","567200.1567909289","340600.502470327","26"
"BURSLDN","448985.15334167005","109585.39770805536","37"
"BOXHAWH","516743.9945764786","151864.98748026526","78"
"PATCHWY","361059.94671614544","180929.86072391283","40"
"WIVENHO","603670.156371649","221680.13987480546","76"
"NWMILSN","399529.6828890325","384750.38460903795","39"
"LVRPLSH","335105.4119274742","390574.85329100874","342"
"LVRPLSG","332999.9227935432","395000.4698103711","4"
"KLYNN","562301.2371541061","320075.74973122805","60"
"BSTD","579881.9706855038","156119.03149239774","63"
"LVRPLSL","335128.61143848096","390521.1263140803","220"
"WTLESFD","548420.1853645423","247240.39479054644","104"
"CMBRNLD","276410.2500414557","673879.509707485","102"
"PTYPRID","307190.3244662903","189800.16680303868","192"
"SHPLAKE","477640.148819137","179761.942860284","70"
"SUTCO","411970.2753763971","296359.9592767988","142"
"MLTNSDG","475279.94818848826","318740.0809506924","39"
"MBRK","439900.1797432506","112599.52616278641","36"
"CLITHRO","374169.7523184137","441989.5016886707","38"
"NWMILSC","399720.07370260044","385329.987149047","60"
"PTGLSGW","232069.7085783663","674429.6281161136","126"
"BOMO","409660.2073573753","91969.82675789297","134"
"DREMJ","351079.85918200796","679409.8782399028","38"
"GTBNTLY","611197.7522447023","221460.19946485438","41"
"GTMSNDN","489300.06542086165","201319.35602939717","73"
"SMERTON","524944.826178572","168634.8429028052","71"
"SEVNSIS","533454.9931141059","188800.4474728374","183"
"MFLDTWN","453715.26961559796","360850.09132460295","42"
"BRDNML","377918.2802382276","564485.769825876","23"
"RTHGLEN","261540.24710009422","661919.8859964645","204"
"WCHAPEL","534714.7907047827","181845.29131918482","581"
"EGTON","480430.31731894804","505380.0241984406","10"
"LLWYNYP","299500.2313968739","193799.90183111292","61"
"BLCKPLN","331024.2967942992","436692.6403355615","155"
"PBROSTI","581999.9930706432","308999.5304410113","43"
"LSYDNHM","536829.6813681765","171370.09966604842","150"
"SWNSCMB","560581.7722404622","174761.12948256545","156"
"YORKECP","479845.9601768246","473500.5444828941","10"
"BRDLNGT","517930.02219124185","466857.0388777533","71"
"HGHMSPK","538575.1504961237","191840.17618613312","150"
"LIVST","533215.7201846835","181641.0708811722","1274"
"WHIFLET","273729.6888531753","664119.9975900414","99"
"LYEE","392219.94624360185","284669.9514061582","70"
"HELMSDL","302379.8583782494","915475.2914732698","8"
"TRURO","181667.15820958302","44924.08397116445","132"
"OLDST","532771.6919784578","182479.62043374905","224"
"EPHT","531955.2317190443","179088.8466843755","316"
"ABGLELE","294612.123495471","378680.8434622752","48"
"DOVYJN","269690.1468384288","298020.31207521626","49"
"SLFDORD","383136.8322765861","398486.0652352524","141"
"WHCH","315225.02335637686","180913.13738618954","60"
"GUILDFD","499164.3237401979","149585.02164439546","394"
"LDBURY","370890.01893441594","238625.17113014165","46"
"STMCHLS","336709.88430007914","386950.28288706066","141"
"SURREYQ","535641.9189398098","178945.48368461826","581"
"GODLY","396460.1540756019","394994.79198363144","47"
"HOUGHGR","348529.72649114736","386450.03490066354","69"
