"id","x","y","weight"
"1800WA05611","368543.1109191659","410776.85043416277","7"
"2800S31009B","322754.078255087","387172.6975673193","17"
"2800S31009C","322676.07180826756","387183.761193233","115"
"1800SB11521","382894.05540018","386278.9050931735","3"
"450017571","414490.9392037996","416401.85445055104","14"
"2800S31009A","322771.0989108173","387167.74676857295","99"
"2800S13134A","354679.09353787923","396558.6956523602","22"
"1800NE44281","385677.1259286769","412080.5765202237","63"
"2800S13133B","352092.10280493053","395707.8163889144","11"
"1800NF29751","380980.0418804779","398135.9429341011","33"
"1800WA05621","368472.1275805062","410644.9271308198","7"
"1800NF30731","379284.0888601566","399099.6829163989","146"
"2800S42053B","335755.06403115805","390334.88933648524","106"
"090079341353","344434.8160829204","498717.8546726457","3"
"2800S42053A","335779.04430097033","390352.8120972055","108"
"2800S42053D","335853.0063450466","390295.7302533084","25"
"2800S42053E","335763.0368666693","390153.0796304663","32"
"1800NB43121","384559.14093721274","403577.6770673807","25"
"1800NF29721","380588.0410890798","398223.65624232835","33"
"1800SB11511","382680.05289293156","386378.9236582511","151"
"2800S13133A","352057.10755508067","395694.93117684097","12"
"2800S13132B","352057.08672898175","393479.8101915701","63"
"2800S13132A","352141.09128505527","393698.8129361239","89"
"1800NF30721","379372.08570887556","398799.68420109485","148"
"2800S42054A","334509.02192312013","390810.83257477905","55"
"1800NB43131","384586.19278945297","403619.64278250723","26"
"1800NF29731","380712.04780036246","398216.0257310129","32"
"1800NF30711","379386.0587773903","398778.0393223539","146"
"0610CH2283A","345653.95628660265","364438.6763596243","29"
"2800S42055A","334569.0298564708","390659.6781981873","11"
"1800NE32271","385167.1599230558","410853.99947113777","154"
"1800NF40101","382785.176932834","400440.7632693523","94"
"1800NE44251","385318.1446093336","412015.9375726471","65"
"1800NF29781","381526.1004534946","398386.7609310831","13"
"1800SG40371","387042.0812624304","391578.6837675985","75"
"2800S13130B","353796.10384438914","395004.9132793387","8"
"2800S13130A","353777.0807698273","395008.8822470067","6"
"1800NF30781","379502.0413977555","399612.73034100997","14"
"1800SG39371","388545.1477716606","393094.9472280546","15"
"1800NF27121","370645.09426043055","392503.57489734987","65"
"068000001002","350937.92283021694","382700.69705916755","20"
"1800WK02371","358147.06462370127","406018.6100558804","251"
"1800EH38161","395459.0206071249","395530.6891491487","4"
"1800NE44241","385186.13808466465","412059.63319732295","64"
"1800NF29791","381388.08545367286","398408.8887639348","14"
"1800SG39381","388651.1293762412","393265.79792823","17"
"1800SG40361","386959.1019368197","390773.8825662432","95"
"1800NF30771","379499.0629372437","399583.92803550576","14"
"1800NF27131","370939.07508942235","392041.71145683096","100"
"2800S42057D","335225.0591561025","390732.99713950045","257"
"2800S42057C","335173.0108005245","390733.7094804083","290"
"1800NE32261","385145.12065799633","410833.59813891107","150"
"1800NE32291","384990.13390138303","410800.6047016694","154"
"1800NC04641","383299.17673992063","411534.6264654685","25"
"1800WK02341","357747.052291847","398475.8629335922","4"
"090079042858","345821.01388649386","478970.29936514504","3"
"1800SG39391","388657.11006234016","393238.9713129713","15"
"1800SG40391","388368.09446847194","392317.94207137456","27"
"1800NE44271","385676.1449761538","412062.77837323886","64"
"1800NF29761","381122.07358355424","398120.9074686407","32"
"1800NF30761","379111.08976154635","399201.02331023733","148"
"1800NF27101","370252.05464774976","392387.65773146483","65"
"1800NE32281","385045.149807644","410804.6561976676","150"
"1800NC04651","383376.1524151305","411574.6275021299","25"
"1800SG40381","386903.07790811145","390753.56765192706","110"
"1800NE44261","385318.1753664211","412025.7281135519","64"
"1800NF29771","381082.0919971744","398113.8365217577","33"
"1800NF30751","379140.0630309135","399195.8882223983","146"
"1800NF27111","370122.0943280409","392589.630045679","65"
"1800NE07391","388602.10045404965","415555.75950777804","7"
"1800WA17551","369333.1065465516","407611.8516055486","48"
"1800WA42511","373208.1666015293","406634.89376175427","38"
"1800WK04981","362599.0562879376","397702.7020177429","20"
"069000014420","356046.00775885285","388083.63351020927","18"
"1800NB43181","385025.1831550239","403812.5838683231","19"
"1800NE44331","386361.12534247857","412349.77444597066","66"
"1800NEH2791","388501.17675703374","406901.78712217446","17"
"0600CO19047","375178.13127780653","368588.6619005706","4"
"1800WA05571","369450.1602644783","410932.52079656755","18"
